ship_imo_number,co2_real,oof_xgboost,oof_red
9705720,9532.3182,7754.97705078125,8955.643620408133
9705732,6759.2288,6450.37646484375,6183.901277536897
9705756,6733.9373,6247.91259765625,6252.96730495772
9705768,9255.047,8123.17529296875,9011.292161751913
9706061,4313.691,4338.4013671875,4473.124002791748
9706073,2364.0598,2916.893310546875,3362.6167358204584
9706308,9381.392,9947.1318359375,10751.392776404833
9706310,10450.675,14809.6796875,14727.945114130072
9706322,0.0,0.0,307.58837752146064
9706413,6173.4687,4677.42724609375,3710.5390671046616
9706425,8732.189,5976.14794921875,7615.749576085164
9706437,6891.9847,6148.73095703125,8076.43619619859
9706463,10993.6897,9954.8603515625,10148.585667003998
9706475,14206.4952,12600.1181640625,11549.144523777093
9706499,3553.5296,4057.638427734375,4184.103881828508
9706504,5748.887,6593.59326171875,6331.6188033543
9706516,3143.9805,4549.80126953125,4523.52136434295
9706580,664.6444,538.3818969726562,543.5367195889703
9706592,26192.1441,34873.17578125,20556.22079712482
9706736,31117.85,39402.23046875,40590.675389896314
9706748,12707.0599,8746.1259765625,8911.610162116101
9706774,0.0,10.006237030029297,223.27014991869692
9706786,0.0,31.1450138092041,89.95168340208875
9706839,2773.4386,3041.283935546875,3244.757003259456
9706841,1646.6499,1596.16845703125,1711.0093053581168
9706891,52633.8031,43729.30078125,42131.886125958416
